index,area,municipality,residents,unemployment,immigrants,convicted,education,income,criterias,unemploymentCriteria,immigrantsCriteria,convictedCriteria,educationCriteria,incomeCriteria,ghetto,year,missingData
1,Christiansmindevej-området,København,1118,27.1240105540897,15.0268336314848,2.1001615508885,25.5765199161426,78.1525144873830,0,0,0,0,0,0,0,2014,0
2,Lundevænget/Ryparken II,København,1156,36.0206561360875,47.4913494809689,2.2070415133999,46.8926553672316,61.1320240919670,0,0,0,0,0,0,0,2014,0
3,Emdrup,København,1666,29.2512413108242,19.3877551020408,2.6439695762405,34.4936708860759,74.5118103077780,0,0,0,0,0,0,0,2014,0
4,Jagtvej,København,1097,37.6648873072361,27.0738377392890,3.1149301825994,37.2093023255814,60.6717534465154,1,0,0,1,0,0,0,2014,0
5,Blågården,København,2500,33.3400537634409,61.4800000000000,2.3561811505508,42.7205100956429,59.3744400035348,1,0,1,0,0,0,0,2014,0
6,Ågården,København,944,27.9015025041736,56.8855932203390,2.6378896882494,33.0687830687831,58.6383507010041,1,0,1,0,0,0,0,2014,0
7,Lundtoftegade,København,1504,40.7000000000000,52.3000000000000,3.1900000000000,46.6000000000000,54.4000000000000,4,1,1,1,0,1,1,2014,0
8,Aldersrogade,København,2347,38.0000000000000,73.0000000000000,2.7000000000000,43.4000000000000,51.9000000000000,2,0,1,0,0,1,0,2014,0
9,Mjølnerparken,København,1905,43.4000000000000,85.2000000000000,2.2200000000000,53.8000000000000,48.0000000000000,4,1,1,0,1,1,1,2014,0
10,Frederiksholm,København,4416,37.8516909711449,28.2608695652174,3.6430618092509,44.7731755424063,62.3765987486024,1,0,0,1,0,0,0,2014,0
11,Handelsvej-kvarteret,København,864,30.8575367647059,52.3148148148148,1.4681892332790,46.2603878116344,59.5747940191994,1,0,1,0,0,0,0,2014,0
12,Folehaven,København,1969,35.2540106951872,40.8836973082783,2.6819923371648,47.1408647140865,62.2310070729911,0,0,0,0,0,0,0,2014,0
13,Sjælør Boulevard,København,1257,35.7000000000000,57.7000000000000,3.0200000000000,52.8000000000000,58.4000000000000,3,0,1,1,1,0,1,2014,0
14,Akacieparken,København,1089,35.2772511848341,61.0651974288338,2.3878437047757,45.8823529411765,59.9156537058993,1,0,1,0,0,0,0,2014,0
15,Bellahøj,København,2733,35.3396918561996,41.3099158433955,1.8603465851172,41.4333706606943,65.6185185753219,0,0,0,0,0,0,0,2014,0
16,Gadelandet/Husumgård,København,1110,32.6351575456053,66.7567567567568,1.2949640287770,50.9950248756219,57.8483555649181,2,0,1,0,1,0,0,2014,0
17,Tingbjerg/Utterslevhuse,København,6533,31.5000000000000,71.0000000000000,2.2600000000000,57.7000000000000,53.5000000000000,3,0,1,0,1,1,1,2014,0
18,Glumsøparken mv,København,2206,38.0780802292264,21.7135086128740,3.1926121372032,42.1926910299003,62.6362621925067,1,0,0,1,0,0,0,2014,0
19,Bispeparken,København,1669,32.1000000000000,58.9000000000000,2.2100000000000,53.6000000000000,54.6000000000000,3,0,1,0,1,1,1,2014,0
20,Bispevænget mv,København,2867,40.1449020592667,38.4722706662016,3.0614429458360,46.5488215488216,58.0486104889248,2,1,0,1,0,0,0,2014,0
21,Stærevej mv,København,1081,33.6832740213523,34.2275670675301,4.4878563885956,50.2358490566038,55.5841506107153,2,0,0,1,1,0,0,2014,0
22,Degnegården mv,København,1062,37.2000000000000,54.3000000000000,2.2800000000000,51.9000000000000,53.6000000000000,3,0,1,0,1,1,1,2014,0
23,Kantorparken,København,1063,38.7037845705968,27.8457196613358,3.8020519010260,39.9122807017544,63.5921266863893,1,0,0,1,0,0,0,2014,0
24,Hørgården,København,1626,34.4928435114504,52.4600246002460,2.4096385542169,48.9675516224189,61.1733295663560,1,0,1,0,0,0,0,2014,0
25,Gullandsgården mv,København,1189,34.6844155844156,44.9116904962153,2.0697811945594,41.9237749546280,65.4192613244772,0,0,0,0,0,0,0,2014,0
26,Abildgården mv,København,1551,37.0684357541899,26.4990328820116,2.9921259842520,40.8823529411765,62.2544901263980,1,0,0,1,0,0,0,2014,0
27,Remisevænget,København,3459,36.6363851992410,42.2376409366869,2.5244913338357,47.3527218493661,61.1135343782976,0,0,0,0,0,0,0,2014,0
28,Stjernen,Frederiksberg,1455,37.1718213058419,50.7903780068728,1.8867924528302,40.9982174688057,63.1600002712375,1,0,1,0,0,0,0,2014,0
29,Vængerne,Ballerup,2060,32.8530303030303,17.0873786407767,1.4028056112224,43.0471584038694,68.6682700693345,0,0,0,0,0,0,0,2014,0
30,Skovlunde Midt,Ballerup,5054,25.0132664037289,15.6113969133360,1.2156957149735,33.8117106773823,74.6086953342755,0,0,0,0,0,0,0,2014,0
31,Baltorpvej,Ballerup,2458,31.1287234042553,21.3588283157038,1.7270737046947,39.1408114558473,68.8047741404787,0,0,0,0,0,0,0,2014,0
32,Hedeparken,Ballerup,3950,28.5909500225124,24.0506329113924,1.3122529644269,39.3706293706294,72.5354538827645,0,0,0,0,0,0,0,2014,0
33,Grantoften,Ballerup,3108,28.6939153439154,15.7335907335907,1.9092542677448,37.6276512175962,72.6067238347067,0,0,0,0,0,0,0,2014,0
34,Lundegaarden I & II,Ballerup,1796,16.5481064483112,7.1269487750557,0.8155339805825,25.1040221914008,91.8352374867335,0,0,0,0,0,0,0,2014,0
35,Brøndbyøster Torv,Brøndby,3339,22.9604573606479,12.7882599580713,1.7383348581885,36.6043613707165,78.3562609216658,0,0,0,0,0,0,0,2014,0
